CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;48;4;77;46;27;860;89
01:00;42;5;85;52;22;790;76
02:00;36;4;56;34;17;710;62
03:00;29;4;45;27;9;560;44
04:00;25;4;33;20;5;430;33
05:00;24;4;29;16;14;360;47
06:00;22;3;30;17;17;410;49
07:00;26;4;29;15;22;520;61
08:00;22;5;28;11;7;400;33
09:00;15;7;38;14;3;330;21
10:00;8;8;21;6;1;230;11
11:00;8;8;22;7;1;260;11
12:00;10;9;35;14;2;350;14
13:00;11;9;25;9;2;290;13
14:00;8;9;21;8;1;280;9
15:00;4;8;10;3;0;190;5
16:00;8;11;20;7;1;320;10
17:00;10;10;26;10;1;360;11
18:00;12;12;28;10;1;410;14
19:00;15;8;28;10;0;400;17
20:00;15;8;24;7;0;;16
21:00;15;5;36;20;1;270;16
22:00;72;8;91;39;34;1030;124
23:00;65;5;74;39;32;1070;115
