CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;22;14;64;45;3;580;26
01:00;;;82;46;;480;
02:00;;;74;41;;430;
03:00;;;66;41;;450;
04:00;;;57;38;;390;
05:00;;;58;39;;390;
06:00;;;66;42;;430;
07:00;;;84;51;;570;
08:00;;;103;63;;880;
09:00;;;92;54;;730;
10:00;22;12;81;42;9;610;36
11:00;19;14;74;39;8;570;31
12:00;17;15;62;31;6;530;25
13:00;15;15;53;25;5;500;22
14:00;16;17;48;22;5;420;22
15:00;17;19;52;23;4;530;23
16:00;22;18;55;27;4;440;27
17:00;32;16;77;40;4;;37
18:00;41;20;78;41;4;590;46
19:00;40;24;96;50;5;710;48
20:00;36;21;88;47;4;650;41
21:00;32;18;70;42;4;500;37
22:00;35;23;83;51;4;750;41
23:00;32;19;84;51;4;720;38
