CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;5;46;3;35;23;32;760;94
01:00;4;33;3;45;32;18;620;60
02:00;4.9;27;3;49;36;17;720;53
03:00;3.8;22;2;45;33;12;550;40
04:00;3.9;19;3;47;35;9;530;32
05:00;3.9;15;3;41;30;13;480;34
06:00;3.3;12;3;37;26;8;400;24
07:00;2.9;13;4;39;27;13;450;33
08:00;2;17;4;37;25;6;390;25
09:00;2.1;20;6;35;23;6;490;29
10:00;2.2;;;31;20;;;
11:00;1.4;12;3;28;16;3;400;16
12:00;0.9;17;10;31;16;3;400;21
13:00;0.6;10;8;18;11;2;310;13
14:00;0.6;6;6;19;11;1;340;8
15:00;0.5;4;4;14;8;1;270;6
16:00;0.5;4;4;12;8;1;280;5
17:00;0.5;4;4;12;7;1;270;6
18:00;0.5;5;4;15;9;1;290;7
19:00;0.5;8;5;20;12;1;340;10
20:00;0.5;6;3;18;10;1;350;9
21:00;1.1;25;2;26;13;5;440;32
22:00;1.2;25;3;27;16;4;470;31
23:00;3.3;56;3;35;22;31;740;103
