CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;18.8;39;4;90;11;1140;55
01:00;8.7;31;3;76;4;1000;38
02:00;3.4;14;5;94;1;;15
03:00;1;14;3;45;1;550;16
04:00;1.4;12;3;57;1;480;13
05:00;1.2;20;2;67;8;850;32
06:00;5.1;27;4;72;14;1210;49
07:00;5.4;28;4;101;10;820;44
08:00;3.6;33;4;101;32;1300;81
09:00;14.2;40;12;217;85;2660;170
10:00;31.9;35;15;246;27;1660;76
11:00;15.4;45;26;199;39;1970;105
12:00;14;22;15;137;6;960;31
13:00;3.4;25;15;86;6;910;34
14:00;3.3;16;11;73;3;560;21
15:00;1.1;6;5;54;1;320;8
16:00;0.4;7;7;48;1;360;8
17:00;1.8;21;10;58;2;440;24
18:00;2.6;15;5;62;1;370;16
19:00;1.2;20;4;44;1;390;21
20:00;0.8;24;6;46;1;380;25
21:00;0.4;13;6;38;1;310;14
22:00;0.4;23;3;28;2;540;25
23:00;6.3;49;4;87;11;1250;66
