CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;16.4;54;34;99;64;46;;123
01:00;8.9;29;17;74;50;8;1040;40
02:00;3.6;20;13;59;42;3;860;23
03:00;1.5;23;14;62;43;4;920;28
04:00;1.5;28;14;81;51;8;1000;40
05:00;5;44;26;113;75;28;1720;86
06:00;15.4;41;19;78;56;28;1030;83
07:00;7.9;46;21;89;62;40;1230;106
08:00;13.6;41;23;101;64;26;1310;80
09:00;12.3;42;22;85;58;51;610;118
10:00;3.8;40;23;71;47;47;740;110
11:00;4;38;32;85;57;39;1010;96
12:00;7.4;36;28;92;61;34;850;88
13:00;7.7;33;24;81;58;22;690;65
14:00;5.1;26;12;59;42;11;460;42
15:00;2.5;37;15;65;47;21;510;67
16:00;3;36;12;65;45;16;490;59
17:00;2.7;39;21;76;54;17;450;64
18:00;3.3;37;22;78;54;15;500;59
19:00;3;45;26;95;64;28;530;87
20:00;4;53;33;105;71;43;820;118
21:00;10.6;48;41;112;82;24;1520;83
22:00;19;57;53;99;70;64;1110;153
23:00;16.7;56;47;96;65;53;1120;138
