CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;6;56;25;111;85;12;1120;73
01:00;5.2;32;28;87;65;1;760;33
02:00;4.7;39;44;112;84;1;730;40
03:00;6.2;51;58;140;105;2;840;54
04:00;7.1;44;54;165;125;2;1000;47
05:00;9.1;47;51;160;122;3;1000;51
06:00;7.8;61;49;132;100;21;980;92
07:00;8;66;41;149;114;37;1490;122
08:00;8.5;72;44;147;112;61;1580;163
09:00;9.2;70;47;154;117;66;1630;170
10:00;8.1;60;54;129;96;44;1290;126
11:00;6.3;56;53;118;84;36;1090;110
12:00;5.5;51;49;122;85;23;880;86
13:00;5.5;42;33;97;72;16;710;65
14:00;;41;29;95;70;12;730;59
15:00;5.3;;;;;;;
16:00;4;50;26;60;42;15;530;73
17:00;3.5;54;22;52;37;17;500;80
18:00;3;50;21;47;34;13;;69
19:00;3.3;66;22;59;42;23;930;100
20:00;4.4;77;25;83;62;29;1180;120
21:00;6;76;32;106;79;23;1270;110
22:00;6.5;67;34;108;82;15;1270;89
23:00;6.2;53;30;99;76;12;1110;71
