CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;0;22;20;31;2;470;23
01:00;0;22;14;37;1;330;23
02:00;0;12;3;18;1;200;12
03:00;0;31;1;35;4;210;36
04:00;0.2;43;4;86;14;430;63
05:00;7.3;38;5;100;48;830;109
06:00;12.8;50;4;98;42;700;113
07:00;3.8;37;6;64;20;530;66
08:00;1;37;11;73;18;570;62
09:00;1;29;13;61;13;520;48
10:00;1;17;7;53;8;290;28
11:00;0;20;6;34;7;360;30
12:00;0;29;6;23;12;430;47
13:00;0.5;34;11;36;13;420;53
14:00;0;31;18;40;14;370;51
15:00;0;25;14;36;10;;39
16:00;0;25;7;21;9;460;38
17:00;0.1;30;6;13;11;500;45
18:00;1;32;8;20;9;500;45
19:00;0.6;43;16;41;10;570;57
20:00;1;73;17;38;15;710;95
21:00;1;64;14;36;15;750;85
22:00;1;40;11;41;8;490;51
23:00;0.5;24;14;42;3;430;28
