CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;21;2;23;11;2;23
01:00;17;2;21;9;2;19
02:00;18;3;;;1;19
03:00;24;3;;;1;25
04:00;22;5;;;2;24
05:00;24;4;;;2;27
06:00;39;4;;;14;59
07:00;39;7;;;16;63
08:00;35;7;;;17;60
09:00;27;6;;;11;43
10:00;25;7;;;8;37
11:00;40;28;12;5;20;70
12:00;30;19;5;5;13;49
13:00;29;8;7;5;10;43
14:00;34;6;8;5;10;47
15:00;36;3;8;5;14;57
16:00;34;4;5;5;12;51
17:00;38;8;6;5;8;49
18:00;31;5;5;5;4;36
19:00;38;4;6;5;6;46
20:00;26;3;9;5;3;29
21:00;25;2;12;5;2;28
22:00;24;3;15;6;2;26
23:00;26;3;15;5;2;28
