CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;2.9;38;9;45;14;690;60
01:00;3.2;33;19;71;4;760;40
02:00;2.1;40;23;58;5;810;48
03:00;2.9;;;61;;;
04:00;2.1;38;26;58;12;780;57
05:00;3;40;23;77;29;940;85
06:00;3;42;23;76;50;1230;117
07:00;3.7;45;23;87;47;1280;118
08:00;4.5;44;22;104;35;;97
09:00;3.4;40;19;77;26;950;80
10:00;2.4;40;18;85;24;1000;77
11:00;2;39;18;44;22;700;72
12:00;1.9;38;20;41;19;640;68
13:00;1;34;13;32;13;570;55
14:00;1;40;12;26;17;650;66
15:00;1;39;11;15;20;670;70
16:00;1.7;43;11;36;20;710;74
17:00;2;40;11;34;19;620;69
18:00;2;41;12;35;19;670;71
19:00;2.7;43;12;33;25;720;81
20:00;3;42;12;34;27;790;83
21:00;3;41;12;44;21;720;73
22:00;3;38;11;39;22;780;72
23:00;3;36;9;41;16;750;60
