CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;0.8;35;3;32;13;4;290;40
01:00;0.5;15;1;34;17;2;490;17
02:00;0.5;4;2;38;6;0;320;4
03:00;0.5;5;2;9;5;0;290;5
04:00;0.5;6;2;6;5;0;280;6
05:00;0.5;6;2;6;5;0;290;6
06:00;0.5;17;2;6;5;3;310;22
07:00;0.5;33;1;10;5;12;410;51
08:00;0.5;24;1;6;5;8;310;35
09:00;0.5;24;2;6;5;6;290;32
10:00;0.5;28;4;10;5;9;340;41
11:00;0.5;16;7;10;5;5;290;24
12:00;0.5;15;6;9;5;5;;22
13:00;0.5;14;5;10;5;4;260;20
14:00;0.5;16;4;12;5;5;310;24
15:00;0.5;17;2;16;5;6;340;26
16:00;0.5;17;3;17;5;5;310;24
17:00;0.5;19;2;14;5;6;290;27
18:00;0.5;20;2;12;5;5;270;27
19:00;0.5;22;2;8;5;5;310;28
20:00;0.5;38;2;27;9;7;340;49
21:00;0.5;49;2;24;6;6;330;58
22:00;0.5;29;5;18;5;3;340;34
23:00;0.5;49;5;;;6;400;57
