CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;19;4;50;35;66;119
01:00;13;4;65;48;63;109
02:00;13;2;61;44;51;91
03:00;10;3;67;49;36;65
04:00;8;2;61;44;33;58
05:00;6;3;60;43;29;52
06:00;6;3;60;43;23;40
07:00;5;3;63;44;37;62
08:00;6;3;70;51;38;63
09:00;11;5;70;43;21;42
10:00;11;6;43;26;10;26
11:00;9;6;15;8;4;14
12:00;7;5;8;3;2;10
13:00;7;5;5;3;1;8
14:00;5;4;5;3;1;6
15:00;7;5;5;3;1;8
16:00;8;5;5;3;1;9
17:00;5;5;8;3;1;6
18:00;7;5;12;5;1;8
19:00;15;5;31;18;2;17
20:00;53;4;42;23;58;141
21:00;46;4;84;54;104;202
22:00;29;4;137;98;72;138
23:00;22;5;104;75;88;157
