CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;22;18;2;440;25
01:00;19;13;2;280;21
02:00;20;13;2;390;22
03:00;18;10;2;270;20
04:00;14;9;1;270;16
05:00;14;9;1;260;16
06:00;16;8;1;270;18
07:00;19;11;2;320;22
08:00;21;13;3;360;25
09:00;19;18;7;620;29
10:00;18;22;8;630;30
11:00;12;11;4;370;17
12:00;8;6;3;340;12
13:00;9;4;4;;14
14:00;7;4;2;250;11
15:00;8;4;2;230;12
16:00;9;3;2;230;12
17:00;9;3;2;260;12
18:00;12;3;1;270;13
19:00;32;22;3;890;37
20:00;34;35;4;1050;39
21:00;28;33;3;920;32
22:00;23;25;2;680;26
23:00;24;21;2;550;27
