CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;2.3;29;4;7;390;39
01:00;1.9;13;4;2;390;16
02:00;1.8;13;4;2;370;15
03:00;1.8;13;4;2;400;16
04:00;1.8;18;4;4;370;24
05:00;1.8;20;4;5;390;27
06:00;1.7;16;3;5;360;22
07:00;1.6;;;;;
08:00;1.8;21;4;7;370;31
09:00;1.7;18;3;4;370;24
10:00;1.8;17;5;4;400;23
11:00;1.9;19;9;9;380;32
12:00;;19;6;6;440;28
13:00;;22;8;9;390;35
14:00;;22;7;7;370;32
15:00;;23;7;7;;34
16:00;;23;7;8;470;34
17:00;;19;5;4;370;25
18:00;;18;5;4;340;24
19:00;;20;3;5;410;26
20:00;;24;4;7;400;34
21:00;;31;6;10;370;46
22:00;;33;5;11;380;50
23:00;2.9;31;4;10;420;46
