CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;0.4;18;5;3;320;22
01:00;;14;3;3;310;18
02:00;;17;5;3;340;21
03:00;;12;4;2;310;15
04:00;;14;3;3;280;18
05:00;;15;6;4;290;21
06:00;;25;5;12;360;44
07:00;;32;7;16;420;56
08:00;;33;16;18;460;60
09:00;;28;38;18;420;54
10:00;;33;7;20;320;63
11:00;;20;4;13;260;39
12:00;;11;4;6;210;20
13:00;;13;3;6;200;21
14:00;;13;3;6;210;23
15:00;0.4;17;3;8;230;28
16:00;0.4;15;4;7;250;25
17:00;0.4;13;4;5;270;21
18:00;0.4;16;3;7;270;26
19:00;0.4;14;2;4;300;20
20:00;0.4;16;4;4;340;22
21:00;0.4;25;5;6;370;33
22:00;0.6;23;4;5;340;31
23:00;0.8;19;6;4;310;24
