CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;50;5;68;28;;93
01:00;48;4;35;13;510;68
02:00;18;3;13;1;310;20
03:00;19;3;21;2;280;22
04:00;20;2;39;3;320;25
05:00;29;3;31;8;340;42
06:00;29;3;32;13;350;49
07:00;30;;22;11;440;46
08:00;23;;18;9;270;37
09:00;23;4;29;8;250;35
10:00;24;6;17;7;250;34
11:00;28;6;24;9;290;43
12:00;30;7;29;11;280;47
13:00;19;7;26;6;260;29
14:00;18;7;22;7;230;29
15:00;19;11;14;7;260;30
16:00;18;10;11;6;220;28
17:00;20;9;18;5;240;28
18:00;24;7;15;5;270;31
19:00;34;8;30;4;320;40
20:00;30;5;27;5;410;38
21:00;33;5;48;4;350;40
22:00;36;3;29;16;470;60
23:00;42;4;56;31;760;89
