CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;15;6;1;200;18
01:00;19;6;2;230;21
02:00;14;6;1;270;16
03:00;13;5;1;250;14
04:00;13;3;1;240;14
05:00;11;3;1;230;13
06:00;13;5;2;260;15
07:00;18;6;3;310;22
08:00;19;6;5;300;26
09:00;20;12;12;410;37
10:00;21;23;20;610;51
11:00;20;28;17;520;46
12:00;17;21;11;;34
13:00;18;24;9;370;32
14:00;15;15;6;300;24
15:00;13;11;5;250;19
16:00;14;9;4;260;20
17:00;14;9;3;210;19
18:00;21;13;4;280;28
19:00;23;12;4;340;28
20:00;33;28;7;840;43
21:00;30;23;5;810;37
22:00;23;15;3;450;28
23:00;19;9;2;230;22
