CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;37;5;52;21;860;68
01:00;35;5;52;9;760;50
02:00;;;62;;;
03:00;6;3;44;1;210;7
04:00;8;3;44;1;200;10
05:00;10;3;44;2;220;12
06:00;17;3;36;4;310;23
07:00;21;4;36;6;350;30
08:00;16;3;36;3;270;20
09:00;12;3;37;3;230;17
10:00;4;3;37;3;230;8
11:00;6;4;37;3;270;12
12:00;18;5;25;7;380;29
13:00;13;6;25;5;;20
14:00;12;12;25;4;330;19
15:00;12;15;15;4;440;17
16:00;14;10;15;4;430;20
17:00;10;10;15;3;290;14
18:00;16;12;21;5;330;22
19:00;22;12;21;4;380;29
20:00;19;10;21;3;620;22
21:00;45;7;26;17;1010;72
22:00;40;5;26;3;800;45
23:00;19;4;26;1;730;22
