CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;;12;51;43;;380;
01:00;37;17;95;67;3;980;42
02:00;32;8;84;73;3;750;36
03:00;27;6;78;68;2;750;29
04:00;27;6;79;70;2;720;29
05:00;32;5;92;82;3;860;36
06:00;56;7;114;97;30;1200;101
07:00;58;6;122;113;81;1290;182
08:00;67;12;115;99;102;;222
09:00;66;19;119;87;39;1140;126
10:00;56;24;142;92;18;1000;83
11:00;;16;88;73;;690;
12:00;;13;60;52;;470;
13:00;;8;35;28;;290;
14:00;;6;33;27;;280;
15:00;;5;34;27;;280;
16:00;;4;27;22;;250;
17:00;;3;27;19;;230;
18:00;;3;23;18;;230;
19:00;;4;31;21;;260;
20:00;;7;49;35;;400;
21:00;;17;71;51;;690;
22:00;;14;54;43;;440;
23:00;;7;48;41;;350;
