CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;24;4;221;2480;360
01:00;30;4;4;590;35
02:00;17;4;2;320;20
03:00;14;4;2;200;18
04:00;15;4;4;220;22
05:00;25;5;26;340;64
06:00;24;5;54;430;106
07:00;35;7;54;650;118
08:00;51;9;50;770;127
09:00;47;9;58;720;135
10:00;48;15;55;620;132
11:00;32;7;21;320;64
12:00;29;8;17;270;55
13:00;32;6;17;300;58
14:00;46;5;26;450;86
15:00;53;4;37;600;109
16:00;58;5;55;820;142
17:00;40;5;45;1080;109
18:00;48;6;178;1630;320
19:00;51;6;239;2110;416
20:00;46;6;302;2660;507
21:00;45;6;333;2840;554
22:00;33;5;259;2200;429
23:00;29;5;233;2610;385
