CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;24;6;5;530;32
01:00;21;5;12;690;39
02:00;15;3;43;1360;80
03:00;15;2;34;1340;67
04:00;15;3;32;1280;63
05:00;15;2;41;1270;77
06:00;30;3;45;1220;99
07:00;39;4;110;;207
08:00;46;;138;1880;256
09:00;51;;147;1920;276
10:00;51;8;106;1660;213
11:00;54;11;61;1320;146
12:00;53;12;36;980;109
13:00;50;16;21;680;82
14:00;42;17;12;580;59
15:00;49;14;15;550;71
16:00;;;;;
17:00;20;10;4;350;25
18:00;46;6;41;880;109
19:00;50;6;131;2270;250
20:00;49;5;200;2220;353
21:00;43;16;12;1030;62
22:00;37;17;4;870;43
23:00;30;13;5;680;37
