CZAS;Benzen;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;3.6;23;99;78;840
01:00;3.9;46;164;128;1300
02:00;4.7;39;175;137;1300
03:00;5.2;43;173;138;1380
04:00;5.5;43;160;129;1350
05:00;5.5;38;148;120;1260
06:00;5.2;31;131;106;1080
07:00;4.7;32;110;88;860
08:00;4.4;33;112;91;780
09:00;4;24;99;76;730
10:00;3.9;35;112;78;1120
11:00;4.1;42;132;97;1190
12:00;5.5;35;;;1280
13:00;5.4;31;116;89;920
14:00;5.2;34;117;90;1020
15:00;5;31;107;83;900
16:00;4.4;25;93;72;590
17:00;3.8;29;106;82;670
18:00;3.6;30;122;90;930
19:00;3.6;33;135;101;1040
20:00;3.9;31;126;94;1150
21:00;3.9;33;120;92;1000
22:00;3.9;27;109;86;950
23:00;3.6;30;106;84;1080
