CZAS;Benzen;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;0.4;3;6;3;260
01:00;0.4;3;5;3;260
02:00;0.4;2;4;3;230
03:00;0.4;2;3;3;300
04:00;0.4;2;3;3;220
05:00;0.4;2;4;3;290
06:00;0.4;2;6;3;230
07:00;0.4;2;7;3;350
08:00;0.8;1;6;3;750
09:00;1.6;2;7;3;270
10:00;;2;9;4;
11:00;;2;9;5;
12:00;;2;9;5;
13:00;;2;9;4;
14:00;;3;10;4;310
15:00;;6;17;8;350
16:00;;15;24;14;350
17:00;;9;20;12;310
18:00;;7;18;11;380
19:00;;6;;;250
20:00;;3;;;220
21:00;;3;;;270
22:00;;4;;;330
23:00;;5;;;350
