CZAS;Benzen;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;4.8;11;98;75;63;1560;106
01:00;3.3;15;87;66;44;1460;83
02:00;4;13;45;30;1;470;15
03:00;3.8;17;45;30;4;680;23
04:00;3.9;15;41;29;2;570;18
05:00;5.2;10;40;27;1;390;11
06:00;2.8;10;41;27;1;450;12
07:00;2.9;16;45;30;2;710;19
08:00;3.7;11;39;27;2;420;13
09:00;2.3;12;42;28;4;630;18
10:00;5.9;24;59;41;18;790;51
11:00;;17;55;36;9;660;29
12:00;;12;50;32;6;560;20
13:00;3.1;10;39;28;4;430;15
14:00;3.9;10;34;26;3;400;14
15:00;;12;42;32;3;460;16
16:00;7.8;9;26;20;1;360;11
17:00;3.9;14;35;25;2;430;16
18:00;1.6;14;35;26;3;420;17
19:00;2.6;13;165;116;9;720;27
20:00;2.3;19;158;116;54;1230;102
21:00;2.3;16;88;62;82;1460;141
22:00;8.3;14;103;75;88;1720;149
23:00;14.6;13;105;78;79;1680;134
