CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;19;6;172;2840;282
01:00;49;8;72;1950;158
02:00;19;5;9;740;34
03:00;23;5;12;640;40
04:00;25;5;8;600;36
05:00;27;6;3;680;32
06:00;23;6;8;;35
07:00;24;5;7;610;36
08:00;29;9;12;710;47
09:00;25;11;9;390;39
10:00;30;11;22;640;63
11:00;35;6;45;1380;105
12:00;33;5;23;2450;68
13:00;46;9;36;2250;100
14:00;45;14;26;1650;85
15:00;41;17;17;1100;67
16:00;33;13;11;860;49
17:00;37;10;7;720;47
18:00;52;9;24;860;88
19:00;42;6;40;1370;102
20:00;30;6;65;2250;129
21:00;29;6;193;2790;323
22:00;27;6;236;3140;387
23:00;27;6;190;3090;317
