CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;6.5;13;4;22;16;2;430;16
01:00;1.9;10;3;19;15;2;380;12
02:00;1.9;;;54;40;;;
03:00;1.9;17;7;43;33;1;;17
04:00;0.9;13;8;34;25;1;310;13
05:00;0.9;15;8;30;21;1;320;15
06:00;0.9;14;8;31;24;1;310;14
07:00;0.9;15;7;38;30;1;310;16
08:00;0.9;24;9;53;38;2;500;25
09:00;1.4;22;11;59;40;4;670;27
10:00;2.4;26;9;64;46;6;680;34
11:00;7;27;8;76;51;8;850;39
12:00;4.7;21;7;54;39;4;550;26
13:00;3.3;29;8;66;50;8;750;40
14:00;;30;12;75;55;10;930;44
15:00;;32;11;99;74;8;1210;43
16:00;;25;7;69;57;6;670;33
17:00;;29;6;54;43;7;530;40
18:00;;27;5;50;41;7;490;36
19:00;;26;6;53;43;6;480;33
20:00;;25;5;48;40;6;530;33
21:00;;25;4;43;34;5;480;31
22:00;;18;3;33;26;4;460;23
23:00;;17;3;27;21;4;420;24
