CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;36;2;53;970;116
01:00;34;2;37;820;90
02:00;20;2;2;410;23
03:00;23;1;3;430;27
04:00;20;2;3;440;25
05:00;23;2;5;470;31
06:00;28;1;16;540;51
07:00;34;1;41;740;96
08:00;37;3;50;780;113
09:00;42;5;44;820;109
10:00;40;7;34;740;92
11:00;38;11;20;660;67
12:00;28;10;9;510;42
13:00;35;8;8;480;47
14:00;38;11;10;460;53
15:00;35;12;10;400;51
16:00;33;12;12;350;51
17:00;33;7;8;340;44
18:00;53;5;14;450;73
19:00;66;8;16;560;90
20:00;52;5;13;1040;71
21:00;56;2;56;1030;142
22:00;52;2;87;1410;185
23:00;44;2;85;1200;174
