CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;0.4;10;4;12;9;2;270;12
01:00;1;9;5;15;12;2;260;10
02:00;1;9;5;15;12;1;270;10
03:00;0.4;8;3;11;9;1;250;10
04:00;0.4;11;2;10;9;2;250;12
05:00;0.4;12;1;9;8;3;260;16
06:00;0.4;18;3;7;6;8;310;29
07:00;0.9;32;5;10;8;18;420;59
08:00;1;40;8;10;8;17;380;64
09:00;1;34;7;9;7;15;390;57
10:00;1;26;7;9;7;11;340;43
11:00;1.3;21;6;9;7;9;330;34
12:00;0.7;21;5;10;8;9;320;34
13:00;0.4;24;5;10;9;10;340;39
14:00;0.4;23;4;10;8;10;330;37
15:00;0.4;23;4;10;8;11;330;39
16:00;0.4;21;3;12;8;9;330;35
17:00;0.4;24;3;11;9;11;360;40
18:00;1;23;5;12;9;9;350;36
19:00;1;17;6;14;10;6;320;27
20:00;1.2;16;6;14;10;5;310;23
21:00;0.4;15;4;13;10;4;300;21
22:00;0.7;14;4;13;10;4;300;20
23:00;0.7;12;4;13;10;3;280;16
