CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;0.4;23;3;18;8;5;340;30
01:00;0.4;31;2;25;13;6;450;39
02:00;0.4;15;2;5;3;1;150;15
03:00;0.4;14;3;7;3;1;150;16
04:00;0.4;18;2;11;7;2;220;20
05:00;0.4;24;3;14;7;3;250;28
06:00;0.4;41;3;18;10;21;450;73
07:00;0.4;51;4;22;14;27;590;93
08:00;0.4;53;4;16;9;29;500;97
09:00;0.4;52;;22;10;39;620;111
10:00;1.8;51;3;20;10;38;510;108
11:00;0.6;41;4;16;6;30;400;85
12:00;1.1;44;4;20;8;29;;89
13:00;0.4;38;3;17;7;26;530;77
14:00;0.4;32;3;8;3;22;520;66
15:00;0.4;33;3;10;3;18;470;60
16:00;0.4;27;3;9;3;9;430;41
17:00;0.4;22;3;11;4;5;370;29
18:00;0.4;19;2;12;6;5;370;26
19:00;0.4;21;2;17;7;6;360;31
20:00;0.4;23;3;28;15;6;500;31
21:00;2.3;24;2;17;9;4;440;30
22:00;0.4;22;2;14;7;4;410;27
23:00;0.4;29;3;18;8;7;450;40
