CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;1;24;3;41;2;510;25
01:00;1.9;30;3;45;10;640;44
02:00;6.9;36;2;64;13;830;56
03:00;14.9;30;2;51;18;770;57
04:00;16.5;26;2;64;11;590;43
05:00;7.6;20;2;48;15;610;42
06:00;7.9;22;2;48;23;560;57
07:00;5.9;33;2;60;12;450;51
08:00;2.5;21;2;33;5;410;29
09:00;1.1;23;2;47;9;600;36
10:00;1.7;13;2;32;5;290;22
11:00;0.5;11;1;13;6;270;20
12:00;0.4;10;2;8;4;280;17
13:00;0.4;10;3;16;4;260;17
14:00;0.4;11;1;14;5;330;18
15:00;0.4;12;2;18;5;310;21
16:00;0.4;;;29;;;
17:00;0.4;16;3;16;5;320;24
18:00;0.4;19;6;10;5;290;27
19:00;0.4;16;6;13;5;320;23
20:00;0.4;25;5;8;6;380;35
21:00;0.4;29;5;8;6;;38
22:00;0.7;36;4;23;3;510;40
23:00;0.9;27;3;33;2;470;30
