CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;2.6;45;3;46;19;680;74
01:00;2.4;25;3;43;2;390;27
02:00;;28;4;43;5;;34
03:00;;28;5;44;7;;36
04:00;;;6;40;;;
05:00;;18;5;26;2;;21
06:00;;;6;33;;;
07:00;;26;5;27;10;;41
08:00;;32;9;36;8;;44
09:00;;;5;;;;
10:00;;;5;;;;
11:00;;17;3;15;8;400;31
12:00;;26;19;32;11;430;43
13:00;;30;24;24;12;520;47
14:00;;32;20;16;12;550;51
15:00;;24;4;16;12;500;42
16:00;;27;7;17;16;490;52
17:00;;33;13;11;15;520;56
18:00;;25;12;8;10;540;40
19:00;0.9;30;12;18;7;460;41
20:00;0.7;25;15;19;5;390;33
21:00;0.6;35;12;14;3;450;40
22:00;0.9;49;;22;31;;97
23:00;2.3;50;4;47;15;690;73
