CZAS;Benzen;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;1.9;6;14;14;540
01:00;3.1;7;39;32;830
02:00;3.1;6;42;34;870
03:00;3.1;6;40;34;920
04:00;3.6;7;38;32;930
05:00;3.1;7;36;30;890
06:00;3.1;7;38;31;920
07:00;3.1;6;35;30;950
08:00;3.1;7;35;30;1450
09:00;4.1;7;28;25;1480
10:00;4.1;7;28;25;1210
11:00;4.1;7;33;28;1300
12:00;3.6;7;26;22;880
13:00;3.1;7;17;15;650
14:00;3.1;7;19;17;
15:00;3.1;5;15;13;560
16:00;3.1;6;10;10;560
17:00;1.9;6;10;9;640
18:00;1.9;5;12;11;560
19:00;1.9;6;14;13;620
20:00;1.9;6;21;20;800
21:00;1.9;6;26;25;740
22:00;1.9;6;22;21;700
23:00;1.9;5;14;14;520
