CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla;Tlenki azotu
00:00;1.61196;43.932;4.21071;57.3053;39.1134;8.76295;611.867;540.877;57.3
01:00;1.77178;33.2288;3.53386;60.1092;40.6851;14.8466;616.472;550.599;55.7
02:00;1.74418;32.7139;3.96142;61.611;45.3596;5.06802;575.924;559.215;40.5
03:00;2.26586;29.3975;3.72397;62.0923;44.4262;10.2292;571.671;577.107;44.9
04:00;1.60528;28.1854;3.35189;58.1948;44.3098;4.82693;562.584;584.496;35.5
05:00;1.80172;30.4481;3.42956;57.4306;42.9648;8.93545;579.118;586.509;43.9
06:00;2.23303;33.1634;3.41477;56.6338;42.7536;30.3038;740.826;611.525;79.3
07:00;2.24296;35.4893;3.78389;61.0714;43.8255;47.5949;782.62;630.135;107.9
08:00;2.82399;39.1453;4.67821;60.9474;40.1607;53.2389;772.789;650.25;120
09:00;1.6511;42.6812;6.82563;61.3422;32.2919;38.0688;626.436;651.496;100.6
10:00;1.44816;37.0362;40.9505;43.3762;22.351;22.4768;468.598;638.08;71.2
11:00;1.16333;32.1134;28.8901;31.7646;16.8439;15.3281;430.82;620.474;55.4
12:00;0.61693;30.43;10.1522;25.4838;14.0021;15.0031;393.054;599.283;53.2
13:00;0.54748;31.5268;15.5765;24.4868;13.5578;13.2722;364.334;572.435;51.7
14:00;0.531065;37.6632;27.2109;26.2823;14.1274;16.0039;379.158;527.226;62
15:00;0.494085;29.3465;18.2011;24.4161;13.8656;10.7689;349.567;473.094;45.7
16:00;0.517175;24.9535;7.06086;23.4488;13.048;8.24509;316.439;416.051;37.5
17:00;0.653729;26.7235;7.50987;22.0925;12.0051;7.79721;325.371;378.418;38.6
18:00;0.464321;30.1685;6.92993;23.396;11.2658;7.92365;335.108;361.731;42.2
19:00;0.767194;41.5679;7.53428;25.9973;12.4498;10.0889;412.241;359.409;57
20:00;1.19417;57.2545;7.84718;33.7316;14.8406;10.9417;607.611;386.229;73.9
21:00;3.19;78.6153;5.38391;148.067;98.7877;19.2156;816.266;442.72;107.8
22:00;2.99933;46.0443;3.79646;128.2;83.8971;14.7427;872.054;504.332;68.3
23:00;2.38402;56.6604;2.98203;92.2687;51.6806;83.027;951.804;579.612;182.9
00:00;2.90588;47.4621;2.45683;58.9117;33.8672;78.8035;988.683;663.642;167.3
01:00;2.9223;42.8454;2.76603;52.433;31.5929;69.3973;936.656;740.053;148.3
