CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;20;8;76;57;28;1030;62
01:00;13;17;115;85;88;1790;146
02:00;13;14;99;73;55;1410;97
03:00;13;11;87;65;33;1190;63
04:00;10;10;80;61;26;1140;49
05:00;9;9;75;55;25;1110;46
06:00;9;8;69;49;37;1060;65
07:00;15;7;70;52;62;970;108
08:00;14;6;66;48;57;1010;101
09:00;20;5;56;40;59;1060;109
10:00;18;5;51;36;20;750;48
11:00;15;9;55;35;11;800;31
12:00;11;7;36;25;5;410;18
13:00;20;12;71;45;10;1090;35
14:00;17;9;43;29;6;450;26
15:00;8;5;31;22;1;400;10
16:00;10;10;43;30;1;440;11
17:00;19;10;65;48;3;570;23
18:00;49;10;72;44;126;1540;242
19:00;39;10;120;79;150;2000;269
20:00;35;10;104;68;138;1850;245
21:00;31;10;93;66;107;1630;194
22:00;27;10;84;60;33;1310;77
23:00;31;9;82;59;73;1500;143
