CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;38;19;2;610;41
01:00;42;20;4;650;47
02:00;15;9;1;210;17
03:00;13;7;2;180;15
04:00;15;7;3;180;18
05:00;14;7;2;200;17
06:00;16;6;2;230;19
07:00;15;2;2;200;17
08:00;16;3;3;270;20
09:00;;5;;340;
10:00;;;;;
11:00;18;14;11;440;34
12:00;18;21;10;310;33
13:00;15;14;7;220;25
14:00;23;14;10;590;39
15:00;22;12;8;590;35
16:00;;;;;
17:00;20;;4;230;25
18:00;22;;3;210;25
19:00;22;;1;170;24
20:00;28;;2;440;30
21:00;28;22;2;560;31
22:00;36;30;3;760;40
23:00;30;19;2;390;32
