CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;15;4;138;1740;225
01:00;9;4;104;1680;166
02:00;8;3;1;220;10
03:00;12;3;3;230;15
04:00;10;3;2;250;13
05:00;12;3;6;290;22
06:00;23;4;24;420;59
07:00;30;5;53;670;111
08:00;34;5;68;840;137
09:00;28;5;33;670;78
10:00;21;5;10;450;36
11:00;25;8;11;440;42
12:00;35;13;32;540;82
13:00;32;14;18;300;59
14:00;27;12;9;250;41
15:00;28;8;12;330;45
16:00;27;8;8;290;38
17:00;22;9;5;;29
18:00;20;8;5;270;27
19:00;21;5;37;590;77
20:00;17;4;53;740;97
21:00;16;4;96;1030;162
22:00;14;5;107;1430;178
23:00;13;4;127;1520;208
