CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;0.7;34;5;30;2;36
01:00;1;25;3;23;0;25
02:00;2.8;38;4;66;43;104
03:00;2.4;30;3;53;32;79
04:00;2.4;24;3;53;27;64
05:00;2.4;21;2;46;23;56
06:00;2.4;21;4;39;42;85
07:00;;43;4;51;38;100
08:00;;63;5;55;61;156
09:00;;53;5;58;31;100
10:00;;33;8;56;11;50
11:00;;31;11;47;8;43
12:00;;28;9;34;7;38
13:00;;23;11;;7;33
14:00;;26;12;;8;38
15:00;;28;16;38;7;39
16:00;1;30;15;28;6;39
17:00;0.7;29;20;21;6;37
18:00;1;48;14;26;12;68
19:00;1;25;10;28;2;28
20:00;0.7;16;6;32;0;16
21:00;0.4;21;4;24;1;23
22:00;0.4;26;5;23;1;27
23:00;0.4;32;4;24;1;34
