CZAS;Benzen;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;1.6;9;38;30;330
01:00;1.9;13;49;39;380
02:00;1.6;13;48;38;370
03:00;1.6;15;50;39;390
04:00;1.6;15;44;34;390
05:00;1.6;16;39;29;380
06:00;1.6;11;30;23;330
07:00;1.6;9;30;23;360
08:00;1.6;12;37;25;440
09:00;1.6;8;35;26;310
10:00;1.6;8;37;28;310
11:00;1.6;7;41;31;330
12:00;1.6;10;41;32;330
13:00;1.6;10;41;32;330
14:00;1.6;9;39;30;330
15:00;1.6;;31;23;
16:00;1.6;11;33;24;330
17:00;1.6;10;33;25;320
18:00;1.6;10;34;26;320
19:00;1.6;9;36;28;320
20:00;1.6;10;38;30;350
21:00;1.6;10;38;29;330
22:00;1.6;10;40;32;330
23:00;1.6;9;41;32;340
