CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;35;1;35;21;34;87
01:00;34;3;33;21;17;59
02:00;8;4;3;3;1;10
03:00;7;4;4;3;1;8
04:00;7;5;3;3;3;11
05:00;9;4;5;3;1;11
06:00;21;4;10;5;8;32
07:00;34;4;16;10;20;65
08:00;38;5;16;10;31;85
09:00;22;5;3;3;16;45
10:00;21;7;10;4;12;39
11:00;15;9;6;3;10;31
12:00;15;9;3;3;9;29
13:00;17;8;4;3;10;31
14:00;21;8;7;3;14;42
15:00;25;7;6;3;12;44
16:00;31;8;5;3;16;55
17:00;38;8;6;3;16;62
18:00;40;6;8;3;21;73
19:00;38;7;8;3;17;64
20:00;44;4;12;4;19;72
21:00;49;4;21;9;20;79
22:00;31;3;44;27;31;78
23:00;30;2;32;18;55;114
