CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;2.8;18;5;7;610;623.75;28
01:00;1.9;10;5;1;440;561.25;12
02:00;1.6;8;5;1;410;538.75;9
03:00;1.8;8;5;0;420;513.75;9
04:00;1.9;8;6;1;430;493.75;9
05:00;2;10;5;1;460;476.25;11
06:00;2;12;4;3;480;463.75;16
07:00;2;10;4;2;470;452.5;13
08:00;1.9;10;4;2;460;446.25;11
09:00;2;13;4;4;490;452.5;18
10:00;2.3;13;4;3;510;465;18
11:00;2.5;15;4;5;530;478.75;22
12:00;2.6;16;5;8;560;495;27
13:00;2.5;15;6;7;540;505;25
14:00;2.4;15;5;6;540;512.5;24
15:00;2.7;19;5;11;620;531.25;36
16:00;2.9;18;5;9;610;550;32
17:00;3.3;21;5;10;680;573.75;36
18:00;3.2;19;6;8;640;590;31
19:00;3.1;19;6;7;630;602.5;30
20:00;3.2;18;6;6;620;610;27
21:00;2.9;18;5;7;620;620;28
22:00;2.8;17;6;8;600;627.5;29
23:00;2.7;17;6;7;590;623.75;26
