CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;23;6.25425;25.8864;18.2313;3.57854;363.658;415.28;28.5
01:00;16.4;5.99342;25.348;16.98;2.44447;333.4;401.229;20.1
02:00;18.2;7.07589;52.0847;36.7286;15.2683;762.651;719.797;41.7
03:00;17;7.03895;49.1934;35.1389;10.6428;680.03;741.333;33.4
04:00;17.9;6.70276;48.0732;34.5935;12.5195;679.218;759.471;37.1
05:00;24.7;7.28574;46.514;33.9301;6.72514;544.178;733.449;35
06:00;26.5;7.07589;38.434;26.5403;7.22879;443.548;703.588;37.6
07:00;21.7;7.62415;35.3615;24.3085;6.75909;412.533;646.176;32.1
08:00;17.8;7.99951;27.8282;20.3336;5.42826;394.382;582.885;26.1
09:00;16.7;7.68991;25.8926;18.9789;5.56197;371.57;536.014;25.2
10:00;21.9;8.04679;27.9413;18.6362;8.62924;404.504;491.245;35.1
11:00;15.7;8.24629;27.1362;15.4049;3.69805;343.241;449.147;21.4
12:00;13.2;7.88202;27.6259;19.7862;2.24391;343.814;407.221;16.7
13:00;31.5;7.94483;22.9116;15.8326;9.55652;424.011;392.2;46.1
14:00;30.9;6.94881;20.7395;15.0346;9.83156;442.027;392.01;45.9
15:00;30.1;7.41357;21.1746;15.5043;8.96558;420.028;392.947;43.8
16:00;36.8;8.14802;20.779;15.1978;10.4149;438.124;398.415;52.8
17:00;35.9;7.65592;16.6434;11.6908;10.6539;445.803;407.694;52.2
18:00;24.8;8.54776;12.8268;8.36361;8.14499;399.249;407.037;37.2
19:00;24.9;8.54259;13.9325;8.94611;7.94859;445.104;419.77;37.1
20:00;21.3;7.81848;9.87509;6.05792;4.51553;396.792;426.392;28.3
21:00;23.9;7.27687;14.8222;10.1682;6.7816;389.993;422.14;34.3
22:00;38.7;6.54094;19.0854;13.435;10.0266;451.272;423.296;54.1
23:00;35.5;6.59783;22.4148;15.9032;9.67222;430.367;424.588;50.3
