CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;26;3;3;350;29
01:00;27;3;4;300;31
02:00;39;3;33;680;88
03:00;40;3;22;610;73
04:00;30;4;7;510;39
05:00;40;3;23;570;74
06:00;40;4;37;700;94
07:00;35;5;27;510;76
08:00;35;5;13;380;54
09:00;48;4;19;480;76
10:00;52;4;25;490;89
11:00;50;5;18;450;76
12:00;52;5;26;490;92
13:00;47;4;19;470;74
14:00;23;3;4;280;29
15:00;19;3;4;230;24
16:00;32;3;13;;51
17:00;57;3;45;700;124
18:00;58;3;42;720;122
19:00;52;3;25;560;89
20:00;46;3;13;540;65
21:00;50;4;14;510;71
22:00;49;4;13;450;70
23:00;35;4;6;400;43
