CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;8.5;15;3;73;1450;127
01:00;9.4;10;3;62;1400;103
02:00;2.4;17;1;9;460;30
03:00;2.2;20;3;7;460;30
04:00;1.9;12;2;7;430;23
05:00;1.9;15;1;9;480;27
06:00;2;12;1;23;530;46
07:00;1.9;13;1;22;;45
08:00;2.6;30;2;37;730;86
09:00;2.7;30;1;42;790;95
10:00;2.8;29;2;32;;77
11:00;2.3;;;;490;
12:00;1.1;;5;;;
13:00;1;20;11;11;470;36
14:00;0.8;22;4;10;470;37
15:00;0.9;23;4;9;510;37
16:00;1.1;22;7;10;550;37
17:00;1.1;21;6;7;330;31
18:00;1.1;25;4;6;350;34
19:00;1.6;27;3;4;570;32
20:00;4;;;;;
21:00;4.5;20;3;8;920;33
22:00;5.3;18;3;25;1130;56
23:00;6.7;17;3;49;1210;92
