CZAS;Benzen;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;1.9;8;18;17;420
01:00;1.9;6;;;540
02:00;1.9;6;;;590
03:00;1.9;6;;;530
04:00;1.9;6;25;24;640
05:00;1.9;6;22;20;580
06:00;1.9;5;24;22;630
07:00;1.9;5;25;23;720
08:00;1.9;;25;22;570
09:00;1.9;6;23;20;730
10:00;1.9;7;26;20;650
11:00;1.9;5;12;12;380
12:00;1.9;5;14;13;410
13:00;1.9;7;12;11;
14:00;1.9;6;12;12;520
15:00;1.9;7;13;12;520
16:00;1.9;11;15;13;560
17:00;1.9;8;13;12;530
18:00;1.9;6;19;17;590
19:00;1.9;4;11;11;480
20:00;1.9;5;13;13;490
21:00;1.9;5;20;19;500
22:00;1.9;6;23;22;520
23:00;1.9;8;21;20;530
