CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;4.1;34;5;5;740;42
01:00;3.6;25;5;32;890;73
02:00;3.2;31;5;23;800;66
03:00;3.1;26;6;14;620;47
04:00;2.8;20;5;4;350;26
05:00;0.9;;7;;310;
06:00;0.4;19;8;8;380;30
07:00;0.4;42;5;19;470;71
08:00;0.4;35;5;16;430;59
09:00;0.6;47;4;28;510;90
10:00;0.7;29;4;14;410;49
11:00;0.4;24;4;11;370;40
12:00;0.4;23;4;11;360;39
13:00;0.4;27;4;11;350;44
14:00;;21;5;6;330;30
15:00;;32;4;9;450;45
16:00;;41;5;9;560;54
17:00;;58;8;29;1150;102
18:00;;60;10;128;1300;255
19:00;;53;10;30;870;98
20:00;;46;7;36;1140;101
21:00;;37;12;8;980;48
22:00;;44;14;27;830;85
23:00;5.6;26;9;5;560;33
