CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;11.7;19;4;172;1680;282
01:00;10.5;49;4;72;1470;158
02:00;;56;10;25;1350;94
03:00;;53;9;17;1130;79
04:00;;48;8;8;900;60
05:00;;42;8;8;;53
06:00;;41;8;13;870;61
07:00;;40;7;20;950;71
08:00;;34;6;22;840;66
09:00;4;33;5;28;880;75
10:00;3.9;45;5;67;1030;147
11:00;3.6;51;8;57;760;137
12:00;3;46;7;26;580;85
13:00;2.8;44;11;25;550;82
14:00;3;;19;;1190;
15:00;2.3;;;;;
16:00;2.1;;24;;640;
17:00;2.7;;13;;370;
18:00;4.3;;9;;590;
19:00;15.3;;5;;1220;
20:00;10.9;;4;;1550;
21:00;17.4;;4;;2390;
22:00;18.7;;5;;2300;
23:00;12;;4;;1570;
